epoch,accuracy,loss,val_accuracy,val_loss
0,0.009375687688589096,7.355787754058838,0.029030436649918556,6.363617897033691
1,0.04180801287293434,6.17392635345459,0.06891116499900818,5.6718549728393555
2,0.07246700674295425,5.692859172821045,0.1082664504647255,5.237567901611328
3,0.09780270606279373,5.3974785804748535,0.13419680297374725,4.978699207305908
4,0.1177724301815033,5.181415557861328,0.15822243690490723,4.768199443817139
5,0.13558131456375122,5.006927490234375,0.17013674974441528,4.658140659332275
6,0.1506415158510208,4.872904300689697,0.19170597195625305,4.482108116149902
7,0.16349491477012634,4.754107475280762,0.20690424740314484,4.360910892486572
8,0.17511354386806488,4.65405797958374,0.21918636560440063,4.278752326965332
9,0.18466655910015106,4.572541236877441,0.23202016949653625,4.180698394775391
10,0.19286002218723297,4.497198104858398,0.24214798212051392,4.123288154602051
11,0.20193687081336975,4.423690319061279,0.25096219778060913,4.032638072967529
12,0.2091057449579239,4.359700679779053,0.26240360736846924,3.9541735649108887
13,0.2161465436220169,4.30484676361084,0.268787682056427,3.9079999923706055
14,0.22246158123016357,4.2535719871521,0.2767218053340912,3.855577230453491
15,0.2278505563735962,4.2090606689453125,0.28328976035118103,3.8108057975769043
16,0.2325695902109146,4.161871433258057,0.2908560633659363,3.755814790725708
17,0.23784691095352173,4.1237473487854,0.296806663274765,3.7113101482391357
18,0.24331140518188477,4.085519313812256,0.3012860119342804,3.6804702281951904
19,0.248151957988739,4.046178817749023,0.3034534454345703,3.659024238586426
20,0.25135380029678345,4.021838665008545,0.30594927072525024,3.661699056625366
21,0.2558232843875885,3.9839389324188232,0.3134104907512665,3.5982933044433594
22,0.2591564953327179,3.957995653152466,0.3173512816429138,3.5676357746124268
23,0.2626933157444,3.9264161586761475,0.3241819739341736,3.532459020614624
24,0.266604483127594,3.9057862758636475,0.32508835196495056,3.5198488235473633
25,0.26945167779922485,3.876492977142334,0.33085501194000244,3.47627854347229
26,0.27283743023872375,3.8552818298339844,0.33463817834854126,3.4559478759765625
27,0.2750573754310608,3.832857131958008,0.3335084915161133,3.4685146808624268
28,0.2782067060470581,3.81058931350708,0.3408252000808716,3.4055471420288086
29,0.280935674905777,3.7906365394592285,0.34023407101631165,3.4250519275665283
30,0.28268930315971375,3.7713260650634766,0.3470122218132019,3.3686420917510986
31,0.2854445278644562,3.7529289722442627,0.3437676429748535,3.395101308822632
32,0.2875134348869324,3.7350268363952637,0.34920594096183777,3.363646984100342
33,0.2718292474746704,nan,0.0,nan
34,0.00010508651757845655,nan,0.0,nan
35,0.00010508651757845655,nan,0.0,nan
36,0.00010508651757845655,nan,0.0,nan
37,0.00010508651757845655,nan,0.0,nan
